company_name,tool_support,transportation,self_improvement,meal,working_type,insurance,vacation
tosslab,"맥북 프로 13"", 듀얼 모니터",empty,"직무 도서구입비 및 교육비 지원, 세미나 참가비 지원","커피 및 간단한 다과 제공, 조식 제공, 야근 식대 제공",AM 10 - PM 07,"임직원 건강검진, 4대 보험","출산 휴가, 신규입사자 연차휴가사용, 산전후 휴가, 경조휴가"
treasurehunter,empty,교통비 지원,empty,"고급 커피 제공, 석식 제공","AM 10 - PM 07, 유연 근무","경조사비, 4대 보험","자율 휴가제, 월차"
tridge,"iMac 27"", 맥북 프로 15""",유류비 지원,"세미나 참가비 지원, 스터디 모임 지원","고급 커피 제공, 간식 무한 제공, 석식 제공",empty,4대 보험,empty
triple-2,"맥북프로 최신형, 듀얼 모니터",empty,"여행비지원, 세미나 참가비 지원","생일케이크, 조식 제공, 과일 제공, 고급 커피 제공, 간식 무한 제공, 중식 제공","디지털 노마드, 자율 출근","경조사비, 종합 검진 제공, 실손 보험, 4대 보험","본인생일 반차휴가, 가족돌봄휴가, 월차"
trustus,"3년 근속포상금, 생일 축하금, 제휴 레스토랑",교통비 지원,"사내 동아리 지원, 서적 구매비, 학원/교육비 지원","중식 제공, 고급 커피 제공",AM 10 - PM 07,"4대 보험, 종합 검진 제공, 경조사비","출산 휴가, 자율휴가제, 월차, 근속포상휴가"
voronoi,"워크스테이션, 듀얼 모니터",empty,empty,"복지카드(월15만), 고급 커피 제공, 간식 무한 제공, 중식 제공",8~10시 탄력근무,"경조사비, 종합 검진 제공, 4대 보험","출산 휴가, 자율 휴가제"
waug,"모니터 및 주변기기 제공, 업무에 필요한 기기 지원, 듀얼 모니터",empty,"분기별 팀 회식비 지원, 자기계발비용지원, 도서구입비 및 강연비, 커피타임, 동아리 지원, 와그여행상품지원",empty,AM 10 - PM 07,"경조사비, 4대 보험","자유로운 연차사용 분위기, 출산 휴가, 월차, 자율 휴가제"
wemakeprice,empty,empty,동아리 지원,empty,AM 10 - PM 07,"경조사비, 종합 검진 제공, 4대 보험, http://company.wemakeprice.com/wmp/recruit",empty
within,"업무용 기기 선택제도, iMac 27"", 맥북 프로 15"", 듀얼 모니터",야근택시비지원,"여기어때 포인트 50만원 지원, 무제한 도서 구매 지원","사내 카페테리아 운영 및 지원, 중식 제공, 조식 제공, 고급 커피 제공, 석식 제공","월요일 1시 출근, AM 09 - PM 06","경조사비, 4대 보험","출산 휴가, 생리 휴가, 월차, 자율 휴가제"
yanolja,"듀얼모니터(델), iMac 27"", 맥북 프로 13"", 맥북 프로 15""",야근교통비지원,"생일축하금, 명절 선물 지급, 명절상여금, 탁구장, 베드민턴장, 도서 구입비 지원, 사내 헬스장","월1회 사내이벤트, 고급 커피 제공, 중식 제공",자율 출근,"의료 실비 보험, 경조사비, 종합 검진 제공, 4대 보험","연차 휴가, 출산 휴가, 월차"
yellomobile,"듀얼 모니터, 맥북 프로 15"", 맥북 프로 13""",매월 마지막 금요일 조기퇴근,직무직책 교육지원,"월1회 점심 2시간제공, 사내 카페운영",AM 09 - PM 06,"4대 보험, 종합 검진 제공, 경조사비",연차휴가제도
yogiyo,empty,empty,"자기개발을 위한 도서/교육비 지원, 동아리 지원",간단한 간식제공,AM 10 - PM 07,"경조사비, 4대 보험",연속 15일까지 붙여서 사용할 수 있는 휴가 정책및 기본 휴가와 특별 휴가 정책
zipdoc,듀얼 모니터,empty,동아리 지원,고급 커피 제공,"탄력근무(오전8시~10시), AM 10:00 - PM 06:00","경조사비, 의료 실비 보험, 4대 보험","주 5일 근무, 연차, 자율 휴가제"
